Date,Price_gold,Price_silver,Price_alum,Price_nickel,Price_uran
2022-02-01,1825.0574544101273,23.526857873766982,3048.878368623393,23179.691097501738,32.66857132843855
2022-03-01,1822.0816493900757,23.654558400173542,3018.365125366015,23553.80843017726,33.02715239423609
2022-04-01,1829.430303547557,23.472772932129434,3059.5413504084836,23343.35118089139,32.32281679439596
2022-05-01,1826.5530451846826,23.426969499729342,3106.3240412675705,23218.195040732622,31.778584086559253
2022-06-01,1828.4178141196548,23.488400361125002,3104.032174042681,23306.587698440988,31.577759150372266
2022-07-01,1830.8033106819985,23.53549678593334,3100.811401675692,23452.536376509855,31.73816755195067
2022-08-01,1830.3661689866346,23.524592597248347,3110.558086830797,23553.496592936117,31.930002823047932
2022-09-01,1831.3059195327057,23.50523252537273,3116.108075707354,23559.15430568301,31.962737974586176
2022-10-01,1831.2144460885254,23.50588491494115,3114.466632499523,23531.270968660032,31.892033784931492
2022-11-01,1831.273595844719,23.51507613927739,3114.604009979072,23514.787471945878,31.818083092756304
2022-12-01,1831.689902283081,23.517718753565532,3116.4468204406535,23521.701400340833,31.800682649594734
2023-01-01,1831.6795155926147,23.514914850785,3116.902137918766,23536.867612117854,31.82469529002833
